TPDEL	TPFIL1	TPCONO	TPPROD	TPDESC	TPSTCC	TPIND8	TPFIL2	TPPLGR	TPPLCL	TPPLGH	TPPLCH	TPPRGP	TPTOCO	TPCOL	TPICOL	TPSHDS	TPPRCL	TPFIL3	TPSMSG	TPGRAV	TPINGP	TPSGLN	TPABDS	TPSELL	TPFIL4	TPALTD	TPTISQ	TPFIL5	TPVCFC	TPFLCD	TPRPSL	TPDTTM	TPSPRT	TPIRSC	TPOWNB	TPFIL7
 	      	10	172V	NEW HOLLAND MULTI G 134       	        	20230331	 	0	0	               	          	K4	0	0	0	                              	V11	 	 	0.1	L1	13000000	NEW HOLL  	Y	  	                    	0	                                                                  	  	Y	 	20140219111445	   	   	 	                                                                                                                                                                                                                                              
 	      	10	4660	SRG 60                        	        	20230630	 	0	0	               	          	K4	0	0	0	PETROLEUM LUBRICATING OIL     	J10	 	 	33.7	L1	13134660	SRG 60    	Y	  	                    	0	                                                                  	LU	Y	 	20140303120458	   	   	 	                                                                                                                                                                                                                                              
 	      	10	8556	R11570A                       	        	0	 	0	0	               	          	K4	0	0	0	                              	Y11	 	 	13.4	N1	0	R1157A    	N	  	                    	0	                                                                  	LU	Y	 	20140320160048	   	   	 	                                                                                                                                                                                                                                              
 	      	10	4550	KENSOL HFF-LV (TRUCK BLEND)   	        	20230630	 	0	0	               	          	K4	0	0	0	                              	J10	 	 	41.5	L1	13134550	KNSL HFFLV	Y	  	                    	0	                                                                  	LU	Y	 	20140320160613	   	   	 	                                                                                                                                                                                                                                              
 	      	10	PM32	BRAD PENN METAL 32"RND SIGN   	        	0	 	0	0	               	          	KA	0	0	0	BRAD PENN METAL 32" RND SIGN  	A01	 	 	0.0	Z1	58100430	BP 32 RND 	Y	  	                    	0	                                                                  	  	N	N	20140327163259	   	   	 	                                                                                                                                                                                                                                              
 	      	10	9717	HYDROTREATED WAXY 0600 DISTILL	        	0	 	0	0	               	          	KA	0	0	0	                              	X10	 	 	37.3	H1	0	HYD WXO060	N	  	'                   	0	                                                                  	LU	Y	 	20140425110139	   	092	 	                                                                                                                                                                                                                                              
 	      	10	4551	HYDROTREATED WAXY 0060 DISTILL	        	20200410	 	0	0	               	          	K2	0	0	0	                              	J10	 	 	37.2	H1	13134551	WXYHT 0060	Y	  	                    	0	                                                                  	LU	Y	 	20140425154333	   	   	 	                                                                                                                                                                                                                                              
 	      	10	8557	STOCK 22606                   	        	0	 	0	0	               	          	K4	0	0	0	                              	Y11	 	 	35.6	N1	0	STK 22606 	N	  	                    	0	                                                                  	LU	Y	 	20140612175859	   	   	 	                                                                                                                                                                                                                                              
 	      	10	4327	KENDEX 0060H                  	2911415 	20211203	 	0	0	               	          	K2	0	0	0	PETROLEUM LUBRICATING OIL     	R10	 	 	35.5	K2	13134327	KNDX0060H 	Y	  	                    	0	                                                                  	LU	Y	 	20140722085858	   	   	 	                                                                                                                                                                                                                                              
 	      	10	173V	TUTELA CNH HI TEMP EP GREASE  	        	20230331	 	0	0	               	          	K4	0	0	0	                              	V11	 	 	0.1	L1	13000000	TUTELA    	Y	  	                    	0	                                                                  	  	Y	 	20140728135003	   	   	 	                                                                                                                                                                                                                                              
 	      	10	4575	KENDEX 1000                   	        	20230703	 	0	0	               	          	K2	0	0	0	                              	J10	 	 	24.3	F1	13134575	KENDEX1000	Y	  	                    	0	                                                                  	LU	Y	 	20141023084847	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1254	ALOX 2100                     	        	20170101	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	27.5	N1	13000000	ALOX 2100 	N	  	                    	0	                                                                  	LU	Y	 	20141104115254	   	   	 	                                                                                                                                                                                                                                              
 	      	10	8160	NOCO PREMIUM ULSD NO2 DIESEL  	        	0	 	0	0	               	          	K2	0	0	0	                              	D10	 	 	34.5	C1	13000000	NOCO ULSD2	N	  	                    	0	                                                                  	FO	Y	 	20141119110021	160	167	 	                                                                                                                                                                                                                                              
 	      	10	9405	K-61 DEWAXED DISTILLATE       	        	0	 	0	0	               	          	KT	0	0	0	                              	X10	 	 	39.8	E1	13000000	K-61 DWXD 	N	  	                    	0	                                                                  	LU	Y	 	20141209132747	   	   	 	                                                                                                                                                                                                                                              
 	      	10	LT70	330 GALLON TOTE               	        	0	 	0	0	               	          	KA	0	0	0	330 GALLONE TOTE              	A01	 	 	0.0	Z1	11335004	330GALTOTE	Y	  	                    	0	                                                                  	  	N	 	20141212112333	   	   	 	                                                                                                                                                                                                                                              
 	      	10	6318	CASTROL EDGE 5W30             	        	20230706	 	0	0	               	          	K4	0	0	0	                              	M05	 	 	35.5	L1	13136318	EDGE 5W30 	N	  	                    	0	                                                                  	LU	Y	 	20141212113849	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7743	PUMPJACK OIL 150              	        	20230320	 	0	0	               	          	K6	0	0	0	                              	G01	 	 	28.5	L1	13137743	PMPJCK 150	Y	  	                    	0	                                                                  	LU	Y	 	20150209111802	   	   	 	                                                                                                                                                                                                                                              
 	      	10	1106	ENERVEST MINERAL OIL (SYN OIL)	2911425 	0	 	0	0	               	          	KA	0	0	0	                              	Y10	 	 	41.3	C1	0	ENV MINOIL	N	  	                    	0	                                                                  	LU	Y	 	20150209123225	   	281	 	                                                                                                                                                                                                                                              
 	      	10	1255	LZ FC6200                     	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	17.5	N1	0	LZ FC6200 	N	  	                    	0	                                                                  	LU	Y	 	20150225134712	   	   	 	                                                                                                                                                                                                                                              
 	      	10	7522	SCOOTER ENGINE OIL SAE10W40   	        	0	 	0	0	               	          	K4	0	0	0	                              	M03	 	 	33.3	L1	13137522	SR ENG SAE	Y	  	                    	0	                                                                  	LU	Y	 	20150304085722	   	   	 	                                                                                                                                                                                                                                              
 	      	10	9718	WAXY LLN DISTILLATE UNHT      	        	0	 	0	0	               	          	KA	0	0	0	                              	X10	 	 	36.5	H1	0	WXY LLN UH	N	  	                    	0	                                                                  	LU	Y	 	20150311102607	   	092	 	                                                                                                                                                                                                                                              
 	      	10	0560	TERGITOL NP 8                 	010117  	0	 	0	0	               	          	KA	0	0	0	                              	Y10	 	 	2.0	T1	0	TERGTL NP8	N	  	                    	0	                                                                  	  	Y	 	20150318110210	   	   	 	                                                                                                                                                                                                                                              
 	      	10	8006	CRUDE TEST                    	        	0	 	0	0	               	          	KA	0	0	0	                              	Z10	 	 	31.9	A1	13000000	CRUDE TEST	N	  	                    	0	                                                                  	  	Y	 	20150325112930	   	001	 	                                                                                                                                                                                                                                              
 	      	10	1954	HCC 80                        	        	0	 	0	0	               	          	KA	0	0	0	                              	Y11	 	 	35.2	M1	13000000	HCC 80    	N	  	                    	0	                                                                  	LU	Y	 	20150409111733	   	   	 	                                                                                                                                                                                                                                              
