CUDEL	CUCONO	CUPROD	CUCNTR	CUUNMS	CUOPER	CUCVFA	CUHAZM	CUIUM	CUFEGL	CUF001
I	10	4670	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	4670	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	4670	624	GAL	M	55.0000000	N	DRM	0	                          
I	10	4670	628	GAL	M	55.0000000	N	DRM	0	                          
I	10	4670	982	GAL	M	55.0000000	N	DRM	0	                          
I	10	4671	022	GAL	M	1.0000000	N	GAL	0	                          
I	10	4671	052	GAL	M	1.0000000	N	GAL	0	                          
D	10	4675	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4771	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4771	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4771	001	LI 	M	1.0000000	N	LI 	0	                          
I	10	4771	003	GAL	M	330.0000000	N	TOT	0	                          
I	10	4771	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4772	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4772	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4772	001	LI 	M	1.0000000	N	LI 	0	                          
I	10	4772	645	LI 	M	197.0000000	N	DRM	0	                          
I	10	4772	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4772	650	LI 	M	1211.0000000	N	TOT	0	                          
I	10	4773	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4773	001	LBS	M	1.0000000	N	LBS	0	                          
I	10	4773	001	LI 	M	1.0000000	N	LI 	0	                          
I	10	4773	645	LI 	M	197.0000000	N	DRM	0	                          
 	10	4774	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	4774	646	GAL	M	55.0000000	N	DRM	0	                          
 	10	4774	650	LI 	M	1249.0000000	N	TOT	0	                          
I	10	4775	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4775	001	LI 	M	1.0000000	N	LI 	0	                          
I	10	4775	645	LI 	M	197.0000000	N	DRM	0	                          
I	10	4775	650	LI 	M	1249.0000000	N	TOT	0	                          
I	10	4776	001	LI 	M	1.0000000	N	LI 	0	                          
I	10	4776	645	LI 	M	208.0000000	N	DRM	0	                          
I	10	4776	650	LI 	M	1249.0000000	N	TOT	0	                          
I	10	4776	692	LI 	M	208.0000000	N	DRM	0	                          
I	10	4777	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	4777	001	LI 	M	1.0000000	N	LI 	0	                          
I	10	4777	645	LI 	M	197.0000000	N	DRM	0	                          
D	10	4777	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	4777	650	LBS	M	330.0000000	N	TOT	0	                          
I	10	4777	650	LI 	M	1249.0000000	N	TOT	0	                          
I	10	4777	692	LI 	M	208.0000000	N	DRM	0	                          
D	10	4912	001	LBS	M	1.0000000	Y	LBS	0	                          
D	10	4914	001	LBS	M	1.0000000	N	LBS	0	                          
D	10	4914	673	LBS	M	120.0000000	N	DRM	0	                          
D	10	4920	001	LBS	M	1.0000000	Y	LBS	0	                          
 	10	5000	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	5000	001	LBS	M	1.0000000	N	LBS	0	                          
