WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
 	10	7197	448	39.00	2.50	36.50	5.0000000	                        
 	10	7197	502	39.00	2.50	36.50	5.0000000	                        
 	10	7197	603	436.10	35.00	401.10	55.0000000	                        
 	10	7197	982	442.00	35.00	407.00	55.0000000	                        
I	10	7198	004	1700.00	0.00	1700.00	220.0000000	                        
I	10	7198	448	41.50	2.50	39.00	5.0000000	                        
I	10	7198	501	41.50	2.50	39.00	5.0000000	                        
I	10	7198	502	41.50	2.50	39.00	5.0000000	                        
I	10	7198	601	436.24	35.00	401.24	55.0000000	                        
I	10	7198	602	436.24	35.00	401.24	55.0000000	                        
I	10	7198	603	436.24	35.00	401.24	55.0000000	                        
I	10	7198	615	436.24	35.00	401.24	55.0000000	                        
I	10	7198	982	436.24	35.00	401.24	55.0000000	                        
I	10	7199	004	1700.00	0.00	1700.00	220.0000000	                        
I	10	7199	100	32.00	2.50	29.50	4.0000000	                        
I	10	7199	501	41.50	2.50	39.00	5.0000000	                        
I	10	7199	502	39.00	2.50	36.50	5.0000000	                        
I	10	7199	601	442.00	35.00	407.00	55.0000000	                        
I	10	7199	603	436.10	35.00	401.10	55.0000000	                        
I	10	7199	610	442.00	35.00	407.00	55.0000000	                        
I	10	7200	004	1700.00	0.00	1700.00	220.0000000	                        
I	10	7200	100	32.00	2.80	29.20	4.0000000	                        
I	10	7200	501	41.50	2.50	39.00	5.0000000	                        
I	10	7200	504	41.50	2.50	39.00	5.0000000	                        
I	10	7200	601	442.00	35.00	407.00	55.0000000	                        
I	10	7200	627	442.00	35.00	407.00	55.0000000	                        
I	10	7203	106	32.00	2.90	29.10	4.0000000	                        
I	10	7250	025	25.80	2.70	23.10	3.1600000	                        
I	10	7252	281	24.29	0.00	24.29	3.0000000	                        
I	10	7252	354	24.29	0.00	24.29	3.0000000	                        
I	10	7252	355	24.29	0.00	24.29	3.0000000	                        
I	10	7253	009	24.13	2.50	21.63	3.0000000	                        
I	10	7253	013	24.16	2.50	21.66	3.0000000	                        
I	10	7253	100	31.89	3.00	28.89	4.0000000	                        
I	10	7253	101	31.38	2.50	28.88	4.0000000	                        
I	10	7253	281	23.16	1.50	21.66	3.0000000	                        
I	10	7253	354	24.29	2.60	21.69	3.0000000	                        
I	10	7253	355	24.50	2.80	21.70	3.0000000	                        
I	10	7253	432	32.00	2.90	29.10	4.0000000	                        
I	10	7253	501	39.11	3.00	36.11	5.0000000	                        
I	10	7253	502	39.00	2.50	36.50	5.0000000	                        
I	10	7253	601	432.18	35.00	397.18	55.0000000	                        
I	10	7253	603	436.10	35.00	401.10	55.0000000	                        
 	10	7253	605	432.18	35.00	397.18	55.0000000	                        
I	10	7253	982	442.00	35.00	407.00	55.0000000	                        
 	10	7256	502	39.00	2.50	36.50	5.0000000	                        
 	10	7256	601	442.00	35.00	407.00	55.0000000	                        
 	10	7256	603	436.10	35.00	401.10	55.0000000	                        
 	10	7256	982	442.00	35.00	407.00	55.0000000	                        
I	10	7257	601	440.36	35.00	405.36	55.0000000	                        
I	10	7257	982	442.00	35.00	407.00	55.0000000	                        
I	10	7258	601	440.36	35.00	405.36	55.0000000	                        
I	10	7258	982	442.00	35.00	407.00	55.0000000	                        
I	10	7259	281	25.30	2.80	22.50	3.0000000	                        
I	10	7259	355	24.50	2.80	21.70	3.0000000	                        
I	10	7259	432	32.00	2.90	29.10	4.0000000	                        
 	10	7261	982	442.00	35.00	407.00	55.0000000	                        
I	10	7269	355	24.50	0.00	24.50	3.0000000	                        
I	10	7269	535	39.00	2.50	36.50	5.0000000	                        
I	10	7270	535	39.00	2.50	36.50	5.0000000	                        
I	10	7270	982	436.10	35.00	401.10	55.0000000	                        
I	10	7270	983	442.00	35.00	407.00	55.0000000	                        
I	10	7271	535	39.00	2.50	36.50	5.0000000	                        
I	10	7271	625	436.10	35.00	401.10	55.0000000	                        
I	10	7271	626	436.10	35.00	401.10	55.0000000	                        
I	10	7272	625	442.00	35.00	407.00	55.0000000	                        
I	10	7272	626	442.00	35.00	407.00	55.0000000	                        
 	10	7275	601	436.10	35.00	401.10	55.0000000	                        
 	10	7275	626	436.10	35.00	401.10	55.0000000	                        
I	10	7277	626	442.00	35.00	407.00	55.0000000	                        
I	10	7278	626	436.10	35.00	401.10	55.0000000	                        
I	10	7301	601	442.00	35.00	407.00	55.0000000	                        
I	10	7301	982	442.00	35.00	407.00	55.0000000	                        
I	10	7302	601	442.00	35.00	407.00	55.0000000	                        
I	10	7302	982	442.00	35.00	407.00	55.0000000	                        
I	10	7303	601	442.00	35.00	407.00	55.0000000	                        
I	10	7303	982	442.00	35.00	407.00	55.0000000	                        
I	10	7304	601	442.00	35.00	407.00	55.0000000	                        
I	10	7304	982	442.00	35.00	407.00	55.0000000	                        
 	10	7305	601	436.60	35.00	401.60	55.0000000	                        
 	10	7305	982	436.60	35.00	401.60	55.0000000	                        
 	10	7309	982	436.10	35.00	401.10	55.0000000	                        
I	10	7310	982	436.10	35.00	401.10	55.0000000	                        
I	10	7310	983	442.00	35.00	407.00	55.0000000	                        
I	10	7311	982	436.10	35.00	401.10	55.0000000	                        
I	10	7311	983	442.00	35.00	407.00	55.0000000	                        
I	10	7313	982	442.00	35.00	407.00	55.0000000	                        
I	10	7314	982	442.00	35.00	407.00	55.0000000	                        
 	10	7315	982	442.00	35.00	407.00	55.0000000	                        
I	10	7316	982	442.00	37.00	405.00	55.0000000	                        
